train_id,station_code,arr_sched,arr_actual,dep_sched,dep_actual,arr_delay,dep_delay
06556_2025-11-02,CHENGANNUR95,2025-11-02 16:08,,2025-11-02 16:10,,,
06556_2025-11-02,TIRUVALLA77K,2025-11-02 16:20,,2025-11-02 16:21,,,
06556_2025-11-02,CHANGANASSER,2025-11-02 16:28,,2025-11-02 16:29,,,
06556_2025-11-02,KOTTAYAM81KM,2025-11-02 16:47,,2025-11-02 16:50,,,
06556_2025-11-02,ERNAKULAMTOW,2025-11-02 18:00,,2025-11-02 18:05,,,
06556_2025-11-02,ALUVA95KMHR,2025-11-02 18:35,,,,,
06556_2025-11-02,THRISUR63KMH,2025-11-02 20:12,,2025-11-02 20:15,,,
06556_2025-11-02,PALAKKAD105K,2025-11-02 21:35,,,,,
06556_2025-11-02,PODANUR66KMH,2025-11-02 22:58,,2025-11-02 23:00,,,
06556_2025-11-02,TIRUPPUR85KM,2025-11-02 23:53,,2025-11-02 23:55,,,
06556_2025-11-02,ERODE81KMHR,2025-11-02 00:50,,2025-11-02 00:55,,,
06556_2025-11-02,SALEM97KMHR,2025-11-02 01:47,,2025-11-02 01:50,,,
06556_2025-11-02,BANGARAPET12,2025-11-02 05:03,,2025-11-02 05:05,,,
06556_2025-11-02,KRISHNARAJAP,2025-11-02 06:14,,2025-11-02 06:15,,,
06556_2025-11-02,SMVTBENGALUR,2025-11-02 07:30,,,,,
06556_2025-11-02,ADSBYGOOGLEW,,,,,,
63374_2025-11-02,RAXAUL,,,2025-11-02 04:00,,,
63374_2025-11-02,NAKARDEI,,,,,,
63374_2025-11-02,ADAPUR81KMHR,,,2025-11-02 04:18,,,
63374_2025-11-02,PACHPOKHARIA,,,,,,
63374_2025-11-02,CHAURADANO25,2025-11-02 04:33,,2025-11-02 04:34,,,
63374_2025-11-02,JAIMURTINAGA,,,,,,
63374_2025-11-02,GHORASAHAN16,2025-11-02 04:51,,2025-11-02 04:52,,,
63374_2025-11-02,RAMROOPNAGAR,,,,,,
63374_2025-11-02,KUNDWACHAINP,2025-11-02 05:09,,2025-11-02 05:10,,,
63374_2025-11-02,GURHANWA,,,,,,
63374_2025-11-02,BAIRAGNIA17K,2025-11-02 05:33,,2025-11-02 05:34,,,
63374_2025-11-02,DHANG128KMHR,2025-11-02 05:48,,2025-11-02 05:49,,,
63374_2025-11-02,MOHINIMANDAL,,,,,,
63374_2025-11-02,RIGA20KMHR,2025-11-02 06:06,,2025-11-02 06:07,,,
63374_2025-11-02,TAPASWINARAY,,,,,,
63374_2025-11-02,SITAMARHI34K,2025-11-02 06:30,,2025-11-02 06:35,,,
63374_2025-11-02,BHISAHALT,,,,,,
